stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1280,,84th & Park View Blvd SW,,41.187581,-96.043088,,,,
1286,,84th & Harrison SE,,41.190274,-96.042847,,,,
1294,,84th & Madison SE,,41.195649,-96.042878,,,,
1295,,84th & Madison NW,,41.195775,-96.043081,,,,
1296,,84th & K St SW,,41.214215,-96.043158,,,,
1297,,84th & Park Dr NW,,41.200853,-96.043182,,,,
1301,,78th & W Center NE,,41.234439,-96.0334,,,,
1304,,84th & Summer Dr NW,,41.18352,-96.043121,,,,
1333,,64th Ave & Center NE,,41.237981,-96.011857,,,,
1334,,Mercy Rd Entrance SW,,41.237827,-96.032099,,,,
1335,,84th & Lakeview Dr SE,,41.208876,-96.042912,,,,
1337,,85th & Seward NW,,41.274238,-96.046544,,,,
1339,,Morton Ave (47th) & Center NE,,41.241601,-95.984108,,,,
1340,,84th & L St NE,,41.212694,-96.042938,,,,
1341,,48th & Center SW,,41.241464,-95.985491,,,,
1343,,73rd & Mercy Rd SE,,41.237858,-96.025515,,,,
1345,,49th & Center NE,,41.241613,-95.98771,,,,
1346,,84th & J St SE,,41.215323,-96.04303,,,,
1350,,84th & I St NW,,41.216502,-96.043201,,,,
1351,,75th & Mercy Rd SW,,41.237825,-96.028819,,,,
1353,,84th & G St SW,,41.218123,-96.043195,,,,
1354,,61st & L St SW,,41.212445,-96.007069,,,,
1355,,51st Ave & Center NE,,41.241208,-95.993853,,,,
1361,,54th & L St NW,,41.212586,-95.997649,,,,
1362,,40th & Fowler Ave NE,,41.301477,-95.972074,,,,
1366,,72nd & J St SE,,41.214973,-96.023747,,,,
1368,,13th & 13th Ct NW,,41.232499,-95.933427,,,,
1373,,42nd & Grover NW,,41.227134,-95.975984,,,,
1375,,13th & B St SE,,41.225098,-95.933294,,,,
1377,,67th & L St SW,,41.212457,-96.015583,,,,
1380,,49th & L St SW,,41.212493,-95.988467,,,,
1381,,38th & Ames Ave SE,,41.299481,-95.969657,,,,
1382,,50th & L St SW,,41.212498,-95.99084,,,,
1386,,8th & Broadway SE,,41.26153,-95.854722,,,,
1400,,84th & W Center NE,,41.234367,-96.04299,,,,
1403,,Westroads Entr 8 & 98th NW,,41.266077,-96.065275,,,,
1412,,102nd & W Center SE,,41.234187,-96.072285,,,,
1416,,96th & W Center SW,,41.233741,-96.062299,,,,
1429,,13th & J St SE,,41.214635,-95.933274,,,,
1430,,117th Ave & Grant SE,,41.27984,-96.097867,,,,
1431,,13th & Mid City Ave SE,,41.219614,-95.933284,,,,
1435,,39th & L St SW,,41.212544,-95.971809,,,,
1436,,72nd & Wirt NW,,41.286951,-96.024003,,,,
1438,,34th Ave & Ames Ave SW,,41.299453,-95.96389,,,,
1441,,117th Ave & Blondo NE,,41.277886,-96.098025,,,,
1449,,15th & Missouri Ave SW,,41.212922,-95.935716,,,,
1458,,30th & L St SE,,41.21223,-95.957714,,,,
1462,,56th Plz & L St SE,,41.212457,-95.999795,,,,
1463,,72nd & Bedford Ave NW,,41.28876,-96.024009,,,,
1466,,13th & I St SE,,41.216031,-95.933265,,,,
1470,,93rd & Maple SE,,41.284979,-96.055678,,,,
1474,,Papillion Pkwy & Blondo SW,,41.277704,-96.091472,,,,
1509,,117th Ave & Miami NW,,41.282944,-96.098799,,,,
1510,,25th & L St NE,,41.212322,-95.948485,,,,
1511,,27th & Babe Gomez Ave SW,,41.206311,-95.953087,,,,
1513,,37th & Curtis Ave SW,,41.315663,-95.968573,,,,
1514,,70th Ave & Military Ave SW,,41.296337,-96.021538,,,,
1525,,33rd & Blondo NW,,41.277432,-95.961595,,,,
1532,,70th Ave & Maple NE,,41.285119,-96.021407,,,,
1534,,30th & Ames Ave SE,,41.299507,-95.956487,,,,
1539,,72nd & Pinkney NW,,41.290552,-96.024015,,,,
1541,,Florence Blvd & Pratt SE,,41.292222,-95.942037,,,,
1542,,26th & Ames Ave NE,,41.299695,-95.95047,,,,
1544,,111th & Blondo NE,,41.277889,-96.085445,,,,
1555,,72nd & Spaulding NW,,41.294208,-96.023979,,,,
1556,,Florence Blvd & Sprague NW,,41.296076,-95.94226,,,,
1559,,Florence Blvd & Laird SW,,41.294536,-95.942257,,,,
1563,,108th & Blondo SE,,41.277747,-96.081063,,,,
1566,,13th & Kavan NW,,41.22146,-95.93337,,,,
1579,,72nd & Pratt SE,,41.292254,-96.023817,,,,
1580,,40th & Ames Ave NW,,41.299702,-95.972368,,,,
1583,,106th & Blondo SE,,41.277734,-96.07864,,,,
1587,,56th & Northampton Blvd NW,,41.315544,-96.000186,,,,
1592,,52nd & NW Radial Hwy SW,,41.284479,-95.99525,,,,
1593,,72nd & Military Ave SE,,41.296992,-96.022853,,,,
1600,,93rd & Fort NE,,41.306784,-96.057288,,,,
1601,,49th & NW Radial Hwy SW,,41.281366,-95.987924,,,,
1604,,Florence Blvd & Manderson SE,,41.29324,-95.942075,,,,
1605,,Florence Blvd & Pratt NW,,41.292357,-95.942252,,,,
1606,,20th & Missouri Ave SW,,41.212906,-95.941833,,,,
1607,,24th & L St NE,,41.212315,-95.946959,,,,
1608,,56th & Sorensen Pkwy SW,,41.31757,-95.999857,,,,
