timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label,orientation
50,1257,1,20150104,20170101,1,1,1,1,1,0,0,Mt. Pleasant - West Ashley,Effective beginning 1-4-15,Inbound,horizontal
51,1243,0,20140101,20170101,0,0,0,0,0,0,1,North Bridge,Year-round calendar,Outbound,horizontal
52,1243,0,20140101,20170101,0,0,0,0,0,1,0,North Bridge,Year-round calendar,Outbound,horizontal
53,1243,0,20140101,20170101,1,1,1,1,1,0,0,North Bridge,Year-round calendar,Outbound,horizontal
54,1243,1,20140101,20170101,0,0,0,0,0,0,1,North Bridge,Year-round calendar,Inbound,horizontal
55,1243,1,20140101,20170101,0,0,0,0,0,1,0,North Bridge,Year-round calendar,Inbound,horizontal
56,1243,1,20140101,20170101,1,1,1,1,1,0,0,North Bridge,Year-round calendar,Inbound,horizontal
57,1246,0,20140101,20170101,0,0,0,0,0,1,0,North Neck,Year-round calendar,Outbound,horizontal
58,1246,0,20140101,20170101,1,1,1,1,1,0,0,North Neck,Year-round calendar,Outbound,horizontal
59,1246,1,20140101,20170101,0,0,0,0,0,1,0,North Neck,Year-round calendar,Inbound,horizontal
60,1246,1,20140101,20170101,1,1,1,1,1,0,0,North Neck,Year-round calendar,Inbound,horizontal
61,1238,0,20140817,20170101,0,0,0,0,0,1,0,Remount Road,"Effective beginning August 17, 2014",Outbound,horizontal
62,1238,0,20140817,20170101,1,1,1,1,1,0,0,Remount Road,"Effective beginning August 17, 2014",Outbound,horizontal
63,1238,1,20140817,20170101,0,0,0,0,0,1,0,Remount Road,"Effective beginning August 17, 2014",Inbound,horizontal
64,1238,1,20140817,20170101,1,1,1,1,1,0,0,Remount Road,"Effective beginning August 17, 2014",Inbound,horizontal
65,1235,0,20140101,20170101,0,0,0,0,0,0,1,Rivers Avenue,Year-round calendar,Outbound,horizontal
66,1235,0,20140101,20170101,0,0,0,0,0,1,0,Rivers Avenue,Year-round calendar,Outbound,horizontal
67,1235,0,20140101,20170101,1,1,1,1,1,0,0,Rivers Avenue,Year-round calendar,Outbound,horizontal
68,1235,1,20140101,20170101,0,0,0,0,0,0,1,Rivers Avenue,Year-round calendar,Inbound,horizontal
69,1235,1,20140101,20170101,0,0,0,0,0,1,0,Rivers Avenue,Year-round calendar,Inbound,horizontal
70,1235,1,20140101,20170101,1,1,1,1,1,0,0,Rivers Avenue,Year-round calendar,Inbound,horizontal
71,1240,0,20140101,20170101,0,0,0,0,0,1,0,Rutledge-Grove,Year-round calendar,Outbound,horizontal
72,1240,0,20140101,20170101,1,1,1,1,1,0,0,Rutledge-Grove,Year-round calendar,Outbound,horizontal
73,1240,1,20140101,20170101,0,0,0,0,0,1,0,Rutledge-Grove,Year-round calendar,Inbound,horizontal
74,1240,1,20140101,20170101,1,1,1,1,1,0,0,Rutledge-Grove,Year-round calendar,Inbound,horizontal
75,1241,0,20140101,20170101,0,0,0,0,0,0,1,Savannah Highway,Year-round calendar,Outbound,horizontal
76,1241,0,20140101,20170101,0,0,0,0,0,1,0,Savannah Highway,Year-round calendar,Outbound,horizontal
77,1241,0,20140101,20170101,1,1,1,1,1,0,0,Savannah Highway,Year-round calendar,Outbound,horizontal
78,1241,1,20140101,20170101,0,0,0,0,0,0,1,Savannah Highway,Year-round calendar,Inbound,horizontal
79,1241,1,20140101,20170101,0,0,0,0,0,1,0,Savannah Highway,Year-round calendar,Inbound,horizontal
80,1241,1,20140101,20170101,1,1,1,1,1,0,0,Savannah Highway,Year-round calendar,Inbound,horizontal
81,1255,0,20140101,20170101,0,0,0,0,0,1,0,St. Andrews,Year-round calendar,Outbound,horizontal
82,1255,1,20140101,20170101,0,0,0,0,0,1,0,St. Andrews,Year-round calendar,Inbound,horizontal
83,1255,0,20150104,20170101,0,0,0,0,0,0,1,St. Andrews,Effective beginning 1-4-15,Outbound,horizontal
84,1255,0,20150104,20170101,1,1,1,1,1,0,0,St. Andrews,Effective beginning 1-4-15,Outbound,horizontal
